datetime,count
2011-01-20 00:00:00,12.28
2011-01-20 01:00:00,6.38
2011-01-20 02:00:00,7.12
2011-01-20 03:00:00,3.46
2011-01-20 04:00:00,3.16
2011-01-20 05:00:00,17.2
2011-01-20 06:00:00,66.32
2011-01-20 07:00:00,153.9
2011-01-20 08:00:00,309.18
2011-01-20 09:00:00,191.72
2011-01-20 10:00:00,108.7
2011-01-20 11:00:00,101.44
2011-01-20 12:00:00,157.08
2011-01-20 13:00:00,119.04
2011-01-20 14:00:00,140.42
2011-01-20 15:00:00,143.6
2011-01-20 16:00:00,129.26
2011-01-20 17:00:00,212.92
2011-01-20 18:00:00,183.96
2011-01-20 19:00:00,186.72
2011-01-20 20:00:00,99.52
2011-01-20 21:00:00,76.88
2011-01-20 22:00:00,55.2
2011-01-20 23:00:00,35.14
2011-01-21 00:00:00,14.96
2011-01-21 01:00:00,6.48
2011-01-21 02:00:00,4.74
2011-01-21 03:00:00,3.233333333333333
2011-01-21 04:00:00,3.32
2011-01-21 05:00:00,9.54
2011-01-21 06:00:00,43.48
2011-01-21 07:00:00,133.62
2011-01-21 08:00:00,210.16
2011-01-21 09:00:00,124.98
2011-01-21 10:00:00,51.32
2011-01-21 11:00:00,62.96
2011-01-21 12:00:00,77.64
2011-01-21 13:00:00,70.66
2011-01-21 14:00:00,70.48
2011-01-21 15:00:00,74.94
2011-01-21 16:00:00,106.7
2011-01-21 17:00:00,193.4
2011-01-21 18:00:00,170.46
2011-01-21 19:00:00,151.2
2011-01-21 20:00:00,92.74
2011-01-21 21:00:00,54.62
2011-01-21 22:00:00,40.22
2011-01-21 23:00:00,19.52
2011-01-22 00:00:00,32.16
2011-01-22 01:00:00,20.7
2011-01-22 02:00:00,25.22
2011-01-22 03:00:00,14.24
2011-01-22 04:00:00,3.16
2011-01-22 06:00:00,3.96
2011-01-22 07:00:00,25.42
2011-01-22 08:00:00,46.58
2011-01-22 09:00:00,66.1
2011-01-22 10:00:00,113.58
2011-01-22 11:00:00,114.94
2011-01-22 12:00:00,127.52
2011-01-22 13:00:00,185.36
2011-01-22 14:00:00,179.75
2011-01-22 15:00:00,176.17
2011-01-22 16:00:00,153.65
2011-01-22 17:00:00,117.44
2011-01-22 18:00:00,67.42
2011-01-22 19:00:00,58.62
2011-01-22 20:00:00,50.94
2011-01-22 21:00:00,54.4
2011-01-22 22:00:00,28.6
2011-01-22 23:00:00,13.68
2011-01-23 00:00:00,28.38
2011-01-23 01:00:00,21.64
2011-01-23 02:00:00,22.08
2011-01-23 03:00:00,17.74
2011-01-23 05:00:00,3.7
2011-01-23 06:00:00,3.68
2011-01-23 07:00:00,13.4
2011-01-23 08:00:00,36.62
2011-01-23 09:00:00,63.32
2011-01-23 10:00:00,62.82
2011-01-23 11:00:00,143.6
2011-01-23 12:00:00,76.14
2011-01-23 13:00:00,111.36
2011-01-23 14:00:00,159.82
2011-01-23 15:00:00,147.48
2011-01-23 16:00:00,136.68
2011-01-23 17:00:00,110.64
2011-01-23 18:00:00,84.94
2011-01-23 19:00:00,74.72
2011-01-23 20:00:00,46.36
2011-01-23 21:00:00,53.26
2011-01-23 22:00:00,37.42
2011-01-23 23:00:00,20.92
2011-01-24 00:00:00,12.46
2011-01-24 01:00:00,5.68
2011-01-24 03:00:00,1.58
2011-01-24 04:00:00,2.22
2011-01-24 05:00:00,11.26
2011-01-24 06:00:00,41.92
2011-01-24 07:00:00,110.5
2011-01-24 08:00:00,267.3
2011-01-24 09:00:00,166.9
2011-01-24 10:00:00,70.26
2011-01-24 11:00:00,73.92
2011-01-24 12:00:00,71.98
2011-01-24 13:00:00,70.94
2011-01-24 14:00:00,67.88
2011-01-24 15:00:00,78.56
2011-01-24 16:00:00,90.92
2011-01-24 17:00:00,141.72
2011-01-24 18:00:00,130.86
2011-01-24 19:00:00,89.18
2011-01-24 20:00:00,56.08
2011-01-24 21:00:00,41.08
2011-01-24 22:00:00,32.52
2011-01-24 23:00:00,37.44
2011-01-25 00:00:00,8.28
2011-01-25 01:00:00,3.92
2011-01-25 02:00:00,1.9
2011-01-25 04:00:00,1.66
2011-01-25 05:00:00,10.6
2011-01-25 06:00:00,55.06
2011-01-25 07:00:00,106.92
2011-01-25 08:00:00,314.5
2011-01-25 09:00:00,209.22
2011-01-25 10:00:00,72.72
2011-01-25 11:00:00,90.58
2011-01-25 12:00:00,105.72
2011-01-25 13:00:00,87.88
2011-01-25 14:00:00,149.86
2011-01-25 15:00:00,150.32
2011-01-25 16:00:00,163.6
2011-01-25 17:00:00,214.24
2011-01-25 18:00:00,209.56
2011-01-25 19:00:00,150.14
2011-01-25 20:00:00,93.94
2011-01-25 21:00:00,74.46
2011-01-25 22:00:00,44.38
2011-01-25 23:00:00,24.28
2011-01-26 00:00:00,12.98
2011-01-26 01:00:00,5.78
2011-01-26 02:00:00,3.58
2011-01-26 05:00:00,8.56
2011-01-26 06:00:00,62.02
2011-01-26 07:00:00,113.7
2011-01-26 08:00:00,246.78
2011-01-26 09:00:00,156.76
2011-01-26 10:00:00,51.78
2011-01-26 11:00:00,41.28
2011-01-26 12:00:00,36.66
2011-01-26 13:00:00,35.34
2011-01-26 14:00:00,30.2
2011-01-26 15:00:00,30.22
2011-01-26 16:00:00,63.58
2011-01-26 17:00:00,137.94
2011-01-27 16:00:00,85.02
2011-01-27 17:00:00,161.56
2011-01-27 18:00:00,147.08
2011-01-27 19:00:00,118.54
2011-01-27 20:00:00,73.7
2011-01-27 21:00:00,52.18
2011-01-27 22:00:00,39.48
2011-01-27 23:00:00,22.96
2011-01-28 00:00:00,13.68
2011-01-28 01:00:00,6.36
2011-01-28 02:00:00,3.373333333333333
2011-01-28 03:00:00,3.4
2011-01-28 05:00:00,14.4
2011-01-28 06:00:00,69.74
2011-01-28 07:00:00,201.1
2011-01-28 08:00:00,373.34
2011-01-28 09:00:00,195.12
2011-01-28 10:00:00,54.6
2011-01-28 11:00:00,64.74
